"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1900-02-22,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-02-24,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-07,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-08,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-09,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-14,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-15,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-16,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-20,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-22,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-23,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-03-24,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-04-19,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1900-04-20,"?? [Hebragasse, Absteigequartier Leopoldine Müller und Arthur Schnitzler]",pmb168801,"48,21573","16,34364","Wohnung Apartment"
1897-08-31,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
1897-09-02,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
1897-09-12,"?? [Helferstorferstraße/Hohenstaufengasse, Absteigequartier II Rosa Freudenthal und Arthur Schnitzler]",pmb168691,"","","Wohnung Apartment"
